********************************
Villa availability
********************************
1: Scrape webpages and store data
2: Load data and visualize it
********************************
Your choice: 2
--- Show NMB data ---
+ ------------------------------ + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- ‖ -------- + -------- + -------- + -------- + -------- + -------- + -------- +
| Villa                          | Jan 2025 | Feb 2025 | Mar 2025 | Apr 2025 | May 2025 | Jun 2025 | Jul 2025 | Aug 2025 | Sep 2025 | Oct 2025 | Nov 2025 | Dec 2025 | Jan 2026 | Feb 2026 | Mar 2026 | Apr 2026 | May 2026 | Jun 2026 ‖ Jul 2026 | Aug 2026 | Sep 2026 | Oct 2026 | Nov 2026 | Dec 2026 | Avg 2026 |
| Villa River Pearl - direct riv |     64.5 |    100.0 |     93.5 |    100.0 |     83.9 |      0.0 |      0.0 |     45.2 |      0.0 |      0.0 |      0.0 |     22.6 |     90.3 |    100.0 |     93.5 |     40.0 |     51.6 |     16.7 ‖     22.6 |      0.0 |     40.0 |      6.5 |      0.0 |     41.9 |     41.9 |
| Villa Royal Residence          |     93.5 |    100.0 |     83.9 |     70.0 |     35.5 |      0.0 |     22.6 |     67.7 |      0.0 |     35.5 |     63.3 |     74.2 |     93.5 |    100.0 |     87.1 |     53.3 |     32.3 |      0.0 ‖     32.3 |     54.8 |      0.0 |      0.0 |      0.0 |      0.0 |     37.8 |
| Villa Ruby Sunset              |     64.5 |    100.0 |     87.1 |     76.7 |     61.3 |     20.0 |     61.3 |     45.2 |     23.3 |     41.9 |     70.0 |     54.8 |     45.2 |    100.0 |     96.8 |     56.7 |     45.2 |     23.3 ‖     58.1 |      0.0 |     23.3 |     51.6 |     83.3 |     64.5 |     54.0 |
| Villa Sea Shell                |     77.4 |    100.0 |     90.3 |     23.3 |     38.7 |     53.3 |     74.2 |     25.8 |     23.3 |     25.8 |      0.0 |     74.2 |     80.6 |     92.9 |    100.0 |     73.3 |     93.5 |      0.0 ‖     22.6 |     22.6 |     26.7 |    100.0 |      0.0 |     77.4 |     57.5 |
| Villa Secret Pearl             |     96.8 |    100.0 |    100.0 |     93.3 |    100.0 |     56.7 |     87.1 |     90.3 |     10.0 |    100.0 |     70.0 |    100.0 |     96.8 |    100.0 |    100.0 |     60.0 |     96.8 |     20.0 ‖     96.8 |     77.4 |     30.0 |     96.8 |     40.0 |    100.0 |     76.2 |
| Villa Skyshine                 |     80.6 |    100.0 |    100.0 |     86.7 |      0.0 |     50.0 |      0.0 |      0.0 |      0.0 |     48.4 |      0.0 |     25.8 |     29.0 |     50.0 |     83.9 |     56.7 |     22.6 |     43.3 ‖      0.0 |      0.0 |      0.0 |     54.8 |      0.0 |     41.9 |     31.9 |
| Villa Sola                     |    100.0 |     46.4 |     38.7 |     73.3 |     41.9 |      0.0 |      0.0 |      0.0 |      0.0 |     25.8 |     43.3 |     35.5 |    100.0 |     78.6 |    100.0 |     90.0 |     87.1 |      0.0 ‖     22.6 |      0.0 |      0.0 |      0.0 |     56.7 |     71.0 |     50.5 |
| Villa Sunbreeze                |      0.0 |      0.0 |      0.0 |      0.0 |      0.0 |     53.3 |     90.3 |     87.1 |     13.3 |     80.6 |     73.3 |    100.0 |    100.0 |    100.0 |    100.0 |     86.7 |     71.0 |     33.3 ‖    100.0 |     61.3 |     13.3 |      0.0 |     80.0 |    100.0 |     70.5 |
| Villa Sunshine                 |      0.0 |      0.0 |      0.0 |     76.7 |     96.8 |     73.3 |     77.4 |    100.0 |     30.0 |     54.8 |     76.7 |     41.9 |    100.0 |    100.0 |     93.5 |     93.3 |     87.1 |     33.3 ‖      0.0 |      3.2 |      0.0 |     54.8 |     60.0 |     41.9 |     55.6 |
| Villa Tranquil Sands           |     96.8 |    100.0 |     90.3 |    100.0 |     96.8 |     43.3 |     64.5 |     64.5 |     13.3 |     93.5 |     93.3 |     67.7 |     83.9 |     96.4 |     93.5 |     80.0 |     87.1 |     10.0 ‖     87.1 |     87.1 |     40.0 |      0.0 |      0.0 |     61.3 |     60.5 |
