********************************
Villa availability
********************************
1: Scrape webpages and store data
2: Load data and visualize it
3: Compare this year with the last
********************************
Your choice: 3
--- Compare nmb year over year ---
--- Jan-Jun 2025 vs Jan-Jun 2026 (percentage points) ---
+ ------------------------------ + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- +
| Villa                          |      Jan |      Feb |      Mar |      Apr |      May |      Jun |     2025 |     2026 |    Delta |
| Villa Brightwater              |    -16.1 |    -17.9 |     +0.0 |    +30.0 |     -6.5 |    -40.0 |     57.0 |     48.6 |     -8.4 |
| Villa Capricorn                |     -3.2 |    -32.1 |     -6.5 |    +50.0 |    +35.5 |     +0.0 |     38.6 |     45.8 |     +7.3 |
| Villa Carrera                  |        - |        - |        - |        - |        - |        - |        - |     49.1 |        - |
| Villa Casa Carlito             |        - |        - |        - |        - |        - |        - |        - |     73.3 |        - |
| Villa Casa La Belle            |        - |        - |        - |        - |        - |        - |        - |     69.2 |        - |
| Villa Casa Sophia              |        - |        - |        - |        - |        - |        - |        - |     44.9 |        - |
| Villa Cataleya                 |    +12.9 |    -17.9 |     +0.0 |    -46.7 |     -9.7 |     +0.0 |     77.6 |     67.4 |    -10.2 |
| Villa Cayman                   |    -35.5 |    +21.4 |    +74.2 |    +60.0 |    +96.8 |     +0.0 |     40.2 |     76.3 |    +36.2 |
| Villa Cupio                    |    -12.9 |     +0.0 |    +19.4 |     +0.0 |    -19.4 |    -16.7 |     80.9 |     76.0 |     -4.9 |
| Villa Da Vinci                 |    -48.4 |    -14.3 |    -12.9 |    -23.3 |    -16.1 |     -3.3 |    100.0 |     80.3 |    -19.7 |
| Villa Dolphin                  |        - |        - |        - |        - |        - |        - |        - |     43.3 |        - |
| Villa Dolphin Drive            |    -22.6 |    -32.1 |    +19.4 |    +16.7 |    +22.6 |    +13.3 |     50.9 |     53.8 |     +2.9 |
| Villa Dreamcatcher             |    -35.5 |     -7.1 |     +0.0 |    +13.3 |    +67.7 |    +23.3 |     62.8 |     73.1 |    +10.3 |
| Villa Edgewater                |    -45.2 |    +50.0 |     -3.2 |     +0.0 |    -22.6 |     +0.0 |     65.8 |     62.3 |     -3.5 |
| Villa Emerald                  |        - |        - |        - |        - |        - |        - |        - |     11.3 |        - |
| Villa Francabella              |    -90.3 |    +17.9 |    +25.8 |    +50.0 |    +61.3 |    +90.0 |     39.4 |     65.2 |    +25.8 |
| Villa Garzetta                 |   -100.0 |     +0.0 |     +0.0 |    +26.7 |    -61.3 |    +33.3 |     83.3 |     66.5 |    -16.9 |
| Villa Happy Place              |        - |        - |        - |        - |        - |        - |        - |     56.4 |        - |
| Villa Incredible               |    -19.4 |    +53.6 |     +3.2 |     -6.7 |    +90.3 |     +0.0 |     41.4 |     61.6 |    +20.2 |
| Villa Isabella                 |     +0.0 |     +0.0 |     +0.0 |     +0.0 |    -22.6 |     +0.0 |     81.2 |     77.4 |     -3.8 |
| Villa Lady Elsy                |    -74.2 |     +0.0 |    +19.4 |    +36.7 |    +71.0 |    +60.0 |     56.8 |     75.6 |    +18.8 |
| Villa Laguna                   |    -54.8 |     -3.6 |     -6.5 |    -36.7 |    +35.5 |    +53.3 |     76.9 |     74.8 |     -2.1 |
| Villa Lake View                |        - |        - |        - |        - |        - |        - |        - |     94.0 |        - |
| Villa Leonardo                 |    -90.3 |    +10.7 |     +0.0 |    -23.3 |    +80.6 |    +53.3 |     62.7 |     67.9 |     +5.2 |
| Villa Louis                    |        - |        - |        - |        - |        - |        - |        - |     61.5 |        - |
| Villa Magic Summer             |     +0.0 |     -3.6 |    -22.6 |    +16.7 |    -41.9 |     +0.0 |     57.5 |     49.0 |     -8.6 |
| Villa Majadama                 |     +0.0 |     +0.0 |     +0.0 |    +86.7 |    +45.2 |   +100.0 |     61.4 |    100.0 |    +38.6 |
| Villa Malibu                   |     -3.2 |    +25.0 |     +9.7 |    -20.0 |    +16.1 |    +16.7 |     49.5 |     56.9 |     +7.4 |
| Villa Manatee                  |   -100.0 |   -100.0 |    -22.6 |    -20.0 |    +19.4 |     -6.7 |     73.8 |     35.5 |    -38.3 |
| Villa Mangifera                |        - |        - |        - |        - |        - |        - |        - |     91.2 |        - |
